"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"CYP2C18",-1.22253642047403,5.18322519363622,-4.31966170453102,5.36279023375896e-05,0.000585076536088074,1.66836288684027,"Downregulated"
"ADAM28",-1.00175301981272,5.404332237725,-4.29683932576587,5.8121289545196e-05,0.000617454979969899,1.59291621572577,"Downregulated"
"CLDN18",-1.9957589586179,7.67738993128823,-4.25547747232758,6.72109264883506e-05,0.00068277384611534,1.45674321287386,"Downregulated"
"SNORD115-15",-1.12500764791209,3.94784555499035,-4.11111579910205,0.000111004363191462,0.000954407462590214,0.987305044658011,"Downregulated"
"ANXA10",-2.12831162062708,6.15924915324606,-4.03283707142773,0.000145183430008251,0.00114312509223938,0.736682473348157,"Downregulated"
"SMIM24",-1.19029486660486,5.86109799343257,-4.02051280745929,0.000151414361009014,0.00117409808718859,0.697483429862454,"Downregulated"
"MT1G",-1.64597170459136,7.67838626422695,-3.89630369204305,0.000230398182285389,0.00155808168185903,0.306462208067751,"Downregulated"
"ALDH1A1",-1.12625947373986,6.97213652831598,-3.83431215517598,0.000283361885040415,0.00179812891791994,0.114127139261434,"Downregulated"
"LTF",-1.35943588247947,5.59074853383484,-3.82287745347846,0.000294329097231435,0.00184968242457492,0.0788598383240808,"Downregulated"
"MT1F",-1.23690675422,6.37544550643171,-3.67747415066,0.000474469285468762,0.00258311788814588,-0.36374444507527,"Downregulated"
"SULT1C2",-1.15741096172012,4.92926449868348,-3.58715262241323,0.000635020182134994,0.00317013384547175,-0.633058256572841,"Downregulated"
"LIPH",-1.09616277174091,5.60566131037483,-3.51278526309118,0.000804783175406562,0.00376715712628956,-0.85145236699408,"Downregulated"
"CTSE",-1.54930070962658,9.10532146805049,-3.39105618107491,0.00117877551737098,0.00498740462398114,-1.20219993356037,"Downregulated"
"HMGCS2",-1.24505198133103,5.58780733081957,-3.34269821807003,0.00136878945408284,0.00556026736867826,-1.33915657994127,"Downregulated"
"ADH1C",-1.30678000014934,6.61790560865848,-3.31528179256752,0.00148899251994526,0.00591545408188566,-1.41619000878039,"Downregulated"
"REG1A",-1.06616313233403,4.91422183024965,-3.19449648515544,0.00214692804784207,0.00775999216421071,-1.75017174667798,"Downregulated"
"KRT20",-1.70689116024986,5.01739485174411,-3.08289314901197,0.00298889054575471,0.00993615700620765,-2.0507437554131,"Downregulated"
"FCGBP",-1.2363638305495,6.0083013079412,-3.00539707480811,0.00374506771067877,0.011783400377513,-2.25478848117485,"Downregulated"
"REG3A",-1.54601134621223,5.52398586357687,-2.8421139108468,0.00595371262341542,0.0168363850158411,-2.67176620949172,"Downregulated"
"PIGR",-1.06885352827802,7.78462072051468,-2.3375551019334,0.0224463201679468,0.0472923104198717,-3.84193886302467,"Downregulated"
