"","GSM3141461_CON_GC_1.CEL","GSM3141462_CON_GC_2.CEL","GSM3141463_CON_GC_3.CEL","GSM3141464_PCOS_GC_1.CEL","GSM3141465_PCOS_GC_2.CEL","GSM3141466_PCOS_GC_3.CEL"
"FBLIM1",6.59236652588552,6.63178891485183,6.69453356083741,6.68791458826477,6.77846849305581,6.59050429701029
"SPEN",8.54622137046074,7.90795315243758,8.13781276060233,8.42390635197398,8.41815025292891,8.34296004621497
"SRARP",5.73322139120777,5.74360346310062,5.71624579395489,5.80929730350912,5.80242650937255,5.74501999798308
"SZRD1",8.00465850993553,8.11782481407191,8.05080341819466,8.01453785327462,8.11013114745995,7.92808717548236
"NECAP2",7.62779473932937,8.06123362156115,7.85940523554556,7.74950922581506,7.76682280237757,7.87530192865329
"MIR3675",4.01117401012147,4.15065394495601,4.05542391012013,4.01818520647283,4.08377865894842,4.12090867798738
"MST1P2",6.46701366114848,6.65621140855216,6.59198517705416,6.5917649205411,6.66108866816284,6.6774517810053
"CROCC",6.9854200399606,7.04068160927829,7.01716442490324,7.04018095504551,7.05345502037445,7.04768505958102
"PADI1",5.639856783095,5.72732815593023,5.72227598478318,5.78139095051604,5.78272390677944,5.64370820426777
"PADI3",5.91977169681379,5.82969677792505,5.85726871353575,5.92356916192626,5.86479031419422,5.8167416328457
"PADI4",6.37496901303641,6.22768780787733,6.41743865806554,6.42631625044787,6.246654256608,6.59381743992588
"PADI6",5.29667179128759,5.356169097845,5.4189705803431,5.44993331483418,5.57648891004205,5.37620414941801
"ARHGEF10L",6.29111792731716,6.37559372491463,6.23684439049752,6.29168464789513,6.35835634985866,6.28196460170624
"ACTL8",5.70440220336867,5.69626394641691,5.74716841049519,5.63210661876392,5.72776405017568,5.75105300495795
"IGSF21",6.22589882829416,6.36652171080269,6.35229230297591,6.3510039911794,6.44765642402134,6.28534304552208
"KLHDC7A",4.83008140493252,5.03975191162342,5.04414988534869,5.04154160434193,4.92393888966841,4.95644267276441
"PAX7",4.53700823063899,4.59377018675239,4.62588491473813,4.64998433427926,4.73753070108955,4.59436362938872
"MRTO4",7.24003609410596,7.59785877072858,7.6286042951688,7.23223995723431,7.45169024275692,7.60017675768784
"SLC66A1",6.82909516513719,6.92100035947768,6.92322834166625,6.88457168003266,6.85886089675204,6.83516808302693
"HTR6",5.71305062554081,5.81233447726293,5.89119041299136,5.8150343111804,6.06866208480803,5.83562678903431
"OTUD3",6.35410455404756,6.32241733776718,6.28757373845606,6.36043209600583,6.3637530627048,6.31607627798676
"PLA2G5",6.59214193561623,6.10012594374572,5.85708849563131,7.5600189939931,6.30255096287261,6.08899853500754
"PLA2G2F",5.45396899600637,5.45632872174912,5.59360891923218,5.48637944629227,5.50529535315797,5.4670320788707
"UBXN10",5.78000125604501,6.01296593493457,5.83009990836951,5.94973345568594,6.02068969417683,5.75328527212358
"VWA5B1",5.53973825095615,5.60862869477454,5.63569434372597,5.67895266477232,5.69613853621142,5.56529189127725
"FAM43B",6.31464960548791,6.43473907598388,6.50245220464359,6.33257522796778,6.44582971127537,6.40141234951033
"CDA",7.07168423334187,6.69508886653838,7.56658384610669,7.3886638900827,6.65396592374898,7.40642251140494
"PINK1",6.90439755223051,7.23278228121632,7.10781741974672,6.98583671062009,7.08246243681107,7.06566278984549
"ECE1-AS1",4.84565155979977,4.96579536954573,4.92648989171483,5.05845657173389,4.92665463271129,4.68808551095254
"NBPF3",7.36418792284669,7.19792658323533,7.27344591995166,7.44607848880411,7.10503824588717,7.30106539545306
"ALPL",6.98422227954759,6.97008273522135,7.54943239547956,7.8231034744164,7.15353392936342,8.24775754186967
"LDLRAD2",6.02701591846285,6.16680031919678,6.20006743662188,6.20007904969952,6.30282664502943,6.1709754719535
"LINC00339",5.30715829499317,5.30167939198976,5.56134626665471,5.44353028899892,5.64356112585106,5.38100688059901
"CDC42",9.68160962249445,9.56992076427958,9.52967211769682,9.55028971490464,9.50248198955019,9.60091892268611
"ZBTB40",7.39777001249808,7.66143492189875,7.70617538516097,7.72884905189496,7.56204918321158,7.51980344343384
"EPHA8",6.78559429509558,6.8357205640399,6.84937538561655,6.86218052393209,6.92143635811925,6.79323982653646
"C1QA",6.87015940720288,7.33391679071598,6.57674689474484,6.71785122496689,6.58735259376771,6.64606732108637
"C1QC",8.26184448015557,9.1083354559998,6.7404493423958,7.34694140735972,7.16539794437571,7.27109461487684
"C1QB",7.42404894737891,8.23373889008602,6.89168824091985,7.17576945396829,7.05555182078597,7.28598253972994
"EPHB2",5.55637046375853,5.59366393651813,5.43264732664844,5.61588172130489,5.61387862936832,5.3719088014241
"MIR4684",6.25574857242717,6.11292328520733,6.15262966626701,6.13872223531948,6.13671308071984,5.88646146264309
"KDM1A",8.2099302133987,8.49966796338841,8.40771243302693,8.45071904970953,8.32227747301466,8.22169936431082
"MIR3115",2.91841746783199,3.37397897080167,3.49226239040244,2.96170336392273,3.12210818542388,2.97526324455716
"ZNF436-AS1",5.76185856385938,5.77448219787039,5.75071731877219,5.84659814617665,5.81039167358853,5.8066677353561
"MDS2",5.38386531991029,5.45030138945194,5.37282705888163,5.45808894758268,5.45492184431514,5.33260972114536
"RPL11",8.06240873539228,8.18299840129199,8.18787910722724,8.00727933362182,8.09543090942758,8.15925024424367
"ELOA",7.69626468229106,7.97086814499834,7.9728241470496,7.60766633877408,7.86906880861722,7.913354725908
"PITHD1",6.99473840255639,6.52755577894428,6.54731349376357,6.60305870760294,6.64083669236744,6.44560511903839
"LYPLA2",7.56991665574231,7.98386085484487,7.76452939341334,7.70915911886419,7.79417566336922,7.70830453262489
"MIR378F",3.83237147963597,3.94984197165798,4.31546349253548,4.39447756416695,4.15964964292478,4.22749256025585
"PNRC2",9.68411380659429,9.80432995139162,9.56950307479027,9.72778167537323,9.67610685358926,9.60487648222395
"LINC02800",5.04535561974591,5.03370176974589,5.0714369030539,5.02306927121189,5.28584603231483,4.99671453434209
"GRHL3",4.9998777613869,5.29456706242484,5.13807409730668,5.07564819120248,5.11397288810617,4.99869269602138
"NIPAL3",5.84357088298669,5.74471987617587,5.89167261756746,5.85454853821073,5.89268791607966,5.81539533217813
"RCAN3",7.40962600768525,7.09787284388183,7.14438805681475,7.12392588183633,7.36892668820202,7.03071432614516
"NCMAP",5.35203777144557,5.34383838606063,5.37127431974214,5.3592500811258,5.34485371266138,5.35085865176971
"SRRM1",8.32252788041348,8.36256177263709,8.32688346508074,8.16395094173168,8.10926127984366,8.08086838073523
"CLIC4",9.28026523243822,9.74277914645666,9.3112376584016,9.43102283570166,9.34886821170465,9.58650044494131
"RHD",5.10273172183724,5.10264182805678,5.11429443987367,5.1829901200923,5.3290737383942,5.12637615520998
"TMEM50A",10.3531804472016,10.5350914854369,10.3001011978483,10.5232192385958,10.4659315591179,10.2146851831479
"MACO1",7.96979891240811,7.65133863454459,7.80950584552202,7.50434188313777,7.91798174171545,7.72092964738537
"LDLRAP1",6.88912365233433,6.87916441695528,6.99372766117121,6.90616754745832,6.9975468865747,6.94376784922455
"MAN1C1",5.59848451872135,5.55092967094284,5.49238792683844,5.51301407827545,5.57730598362425,5.61285417816383
"EXTL1",5.38763769878686,5.54447902355841,5.53389508777667,5.69018416644616,5.59391125954308,5.45118783708268
"PDIK1L",5.82337426470569,6.10772274459537,6.06293424286951,6.09784007706071,6.07634407147795,5.94488558396575
"FAM110D",5.97056633348241,6.26653020982768,6.26059918652969,6.12728118109521,6.49488298627277,6.1038341501764
"ZNF593",7.21315154825301,7.44999171004117,7.6814299078699,7.24290825482667,7.56954548602599,7.46712980230772
"CNKSR1",6.12337008456683,6.19951331868381,6.2276792145291,6.25315311342512,6.31524900929043,6.17056771874948
"CATSPER4",5.05918107463581,5.18377608132915,5.17688631386106,5.17970618962301,5.25604952661181,5.19974857240068
"ZPLD2P",6.76185560556928,6.6098564463146,6.82677246234115,6.83545383490525,6.62037095751257,6.82734442466903
"CEP85",6.91246039548625,7.96437793561678,7.3743078257487,6.79251688344107,7.22663450072127,7.17461999799843
"SH3BGRL3",8.08906217439425,8.14744204294778,8.23634034495327,8.02259075824389,7.97537873806673,7.93822480196434
"CD52",7.68061929985427,6.14769544858514,6.36612528285814,6.31395425027963,6.9898702978265,6.74096187684612
"LIN28A",5.04279364320927,5.0461223284155,5.05057774495269,5.05407356805117,5.07225167754176,5.11469156759076
"DHDDS",7.53794761698495,7.95443234186064,7.79634007944832,7.67100177382404,7.74341062029846,7.73291682809911
"HMGN2",8.55724043230491,8.3938400424467,8.43292293483332,8.44140152760071,8.39014901672401,8.41743605811909
"RPS6KA1",6.95180138519421,6.78904934405657,7.01938034240361,7.00097176080257,6.74154915621544,7.27175486572139
"MIR1976",7.42230480179857,7.66421783955433,7.46909833832976,7.7371517094703,7.65481693191066,7.55760475029635
"ARID1A",8.46096912153249,8.18818909520926,8.24528559622223,8.70964566894664,8.35987278835567,8.23279272614005
"PIGV",6.28981817534948,6.57020604118482,6.55779227817425,6.70489158251865,6.5597602445696,6.4054463526409
"ZDHHC18",7.43836190886021,7.36515103947678,7.70409305203237,7.78693448939822,7.54076995578356,8.08043165772379
"SFN",7.02555474766312,7.1626811543141,7.11571287387447,7.04506495225823,7.34310307817086,7.03844924276372
"NUDC",7.91682974556839,8.19650020764683,8.27082868105947,7.89310105224682,8.08821735798933,8.08049181778791
"TRNP1",6.56604898747719,6.73706746619643,6.68157187806044,6.63084301600609,6.85416506829925,6.66344506926527
"WDTC1",7.70340825599677,7.89290167375073,7.92294179101882,7.92247826724161,7.87577770698082,7.86312659271991
"TMEM222",7.39579329195731,7.68358202116201,7.54552676365273,7.37939294270191,7.51051484144778,7.49908305424737
"ACTG1P20",6.91757454952497,6.69251893664598,6.79250651723076,6.70556002370508,6.70940821054434,6.76717194880763
"SYTL1",6.4369187909334,6.45732851949498,6.45003535199206,6.47584254797915,6.53195884394781,6.47313954934095
"GPR3",6.61785141786134,6.64806844692737,6.77428292392093,6.66985993708425,6.79614822480839,6.52620374198558
