"","GSM3141461_CON_GC_1.CEL","GSM3141462_CON_GC_2.CEL","GSM3141463_CON_GC_3.CEL","GSM3141464_PCOS_GC_1.CEL","GSM3141465_PCOS_GC_2.CEL","GSM3141466_PCOS_GC_3.CEL"
"TC16001599.hg.1",4.9941265637901,4.99584194676602,4.76404427624632,5.04787947393316,5.1201167687522,4.94802590977113
"TC16001600.hg.1",3.86033147991328,4.00320690321599,3.76899997715964,3.99043245055408,4.08552169441703,3.96716013672867
"TC16001601.hg.1",8.74925630900935,9.50084047617124,9.44282589941263,9.30008591795854,9.33140666492066,8.83358830287776
"TC16001602.hg.1",2.99230206596803,2.94393625660945,3.02016047545565,2.65805479899398,3.13727825431204,2.69978813333541
"TC16001603.hg.1",4.72955305195416,4.91164403886208,4.56368403146331,4.65837824741703,4.99098065781182,4.86554278741661
"TC16001604.hg.1",7.6488909142668,8.17815788633034,7.96718751755688,8.03439344575516,7.97404980354751,7.91513356226388
"TC16001605.hg.1",6.71449352460587,6.71656003305536,6.72866192530194,6.73643428906805,6.8367040274338,6.74865446761364
"TC16001606.hg.1",4.18646315686147,4.13163164450285,4.25011682815132,4.22100617182021,4.30356199678165,4.2408879846596
"TC16001607.hg.1",4.62432949620455,4.62084447203918,4.64671911842094,4.73614377263249,4.59389393137394,4.61486648673282
"TC16001608.hg.1",6.06686341052521,6.60728078550509,6.62701076136293,6.35993630788667,6.60829250955289,6.22006525204631
"TC16001609.hg.1",7.125140526387,7.15384856676772,7.10347700726852,7.1844453267993,7.29942621803358,7.18432880221849
"TC16001610.hg.1",6.89781302725484,6.80603091940173,6.76096883197015,6.84457160532937,6.67157126413707,6.52929035533094
"TC16001611.hg.1",4.29304579586964,4.3224556634849,4.40284715625072,4.57645533959833,4.67640831786895,4.39419936726866
"TC16001612.hg.1",5.18619181382742,5.49914279626219,5.27563520646952,5.30683382869497,5.37184280159035,5.27525038705874
"TC16001613.hg.1",3.10987479734711,3.24420171992739,3.30691202900562,3.50014519317809,3.45466339211252,3.29933532534027
"TC16001614.hg.1",3.6612789750254,3.73799000545429,3.59046619167166,3.73371572803671,4.09880893167124,3.93789732111009
"TC16001615.hg.1",4.36155547399761,4.60412019403192,4.66709745729216,4.54715717986311,4.83389959452989,4.57915397811051
"TC16001616.hg.1",6.84331804422916,6.88808782592497,6.77941593456321,6.86805265193732,6.828177892473,6.70329509804615
"TC16001617.hg.1",6.42064479855774,6.28702799076718,6.35500838214469,6.59051961494763,6.52440586125708,6.41995860561214
"TC16001618.hg.1",6.45164726996514,6.45417430251377,6.45174824465069,6.53007875449791,6.62636256886762,6.52168825832459
"TC16001619.hg.1",3.43622097051219,3.43956735939996,3.36153617332094,3.52296619259119,3.58096936924332,3.52797024822353
"TC16001620.hg.1",4.12671154842642,4.19904601665015,4.31107942129473,4.3215121951944,4.29145176177004,4.22776333293523
"TC16001621.hg.1",7.53793453476745,6.92747986589217,7.38811278283396,6.77125334393846,7.33262176404246,6.982545067014
"TC16001622.hg.1",5.63325232508589,5.64465499139395,5.69177969181885,5.80208861865068,5.58269875528174,5.60202387929691
"TC16001623.hg.1",3.59142061830902,3.57850753728663,3.7403375676228,3.64418842866635,3.99189316068118,3.67225100835239
"TC16001624.hg.1",8.01224316364672,8.00278760709981,7.9445757145009,7.91148824725878,7.96768162371458,7.89944945419957
"TC16001625.hg.1",7.42325696009698,7.54223634958912,7.19974679183317,7.45221337470706,7.39702077292821,7.25180155745751
"TC16001626.hg.1",5.84949998037832,5.03763630822655,5.26561000138996,5.67502564908524,5.08727680348318,5.28027949339366
"TC16001627.hg.1",7.77265531246341,8.16851642294849,8.09682083732885,7.91640412366761,7.98634735114076,7.98636469005272
"TC16001628.hg.1",4.95946589928067,4.93267471360997,4.95614420873621,4.99219324783615,5.04042789910743,4.90152865907246
"TC16001629.hg.1",3.70933889715096,3.83424584165511,3.90373759862363,3.56336880248177,3.937873898146,3.51097717005623
"TC16001630.hg.1",5.13903128518688,5.2842749791941,5.44288228728334,5.24299173490251,5.38669498679767,5.1844999576644
"TC16001631.hg.1",5.60223999364282,5.64639538956697,5.7015058832915,5.62019365999731,5.78180526350736,5.7817616587372
