"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"TRIO",0.826065685585884,5.55892262485897,6.45322167518468,1.49052595764226e-08,2.97745947280079e-06,9.4297173729121,"No"
"SPP1",2.56093932612702,6.22405874944437,6.45047178318508,1.50721101431401e-08,2.97745947280079e-06,9.41910990708154,"Upregulated"
"TUBA1A",0.699619864561784,6.81324929012256,6.44687411556731,1.52932028854919e-08,2.9855930433159e-06,9.40523356351259,"No"
"XYLT2",-0.635212851124097,5.63495523524367,-6.43811871529295,1.58448067232012e-08,3.05731072982327e-06,9.37147003003273,"No"
"PTPN1",0.724087798191446,6.3463313878517,6.42784906067061,1.65170279205912e-08,3.10688614942866e-06,9.33187867740456,"No"
"TMEM38A",-0.49004865293101,4.92901536963456,-6.42778205656333,1.6521505489091e-08,3.10688614942866e-06,9.3316204060155,"No"
"CAPN9",-1.67299338087098,4.34845826939388,-6.42330579077048,1.6823378501614e-08,3.10688614942866e-06,9.31436758986438,"Downregulated"
"GKN1",-4.73831189232512,6.32005168181336,-6.42270766679062,1.68641276489549e-08,3.10688614942866e-06,9.31206243054062,"Downregulated"
"TNFAIP3",1.48926649246757,7.43206717709974,6.42017324267982,1.70378835481504e-08,3.10688614942866e-06,9.30229528314817,"Upregulated"
"C6orf136",-0.351988957752236,4.2925324779828,-6.39983877805293,1.84978563859347e-08,3.30302267864433e-06,9.22395868934412,"No"
"FMO5",-0.94222741062376,4.0053783842439,-6.39965533393624,1.85115770226541e-08,3.30302267864433e-06,9.2232522184263,"No"
"RAP1GAP2",-0.608595139341293,4.90046295201093,-6.36979068235651,2.08854341271879e-08,3.68694567985697e-06,9.10829464043529,"No"
"CCT3",0.78965892163262,6.83902683093892,6.36233741280683,2.15235265968915e-08,3.75959368788228e-06,9.07962232972652,"No"
"COL1A1",1.79188751873987,8.0524747243448,6.35524555764497,2.214862548094e-08,3.82848220031999e-06,9.05234691733103,"Upregulated"
