"","Control1","Control10","Control11","Control12","Control13","Control14","Control15","Control16","Control17","Control2","Control3","Control4","Control5","Control6","Control7","Control8","Control9","PCOS1","PCOS10","PCOS11","PCOS12","PCOS13","PCOS14","PCOS15","PCOS16","PCOS17","PCOS18","PCOS19","PCOS2","PCOS20","PCOS21","PCOS22","PCOS23","PCOS3","PCOS4","PCOS5","PCOS6","PCOS7","PCOS8","PCOS9"
"AARS1",10.9473294826624,11.1571362986093,10.7730483303009,11.7139272090242,11.3034390813925,11.0881313157305,12.7833125615228,11.7856713196088,12.3027762150254,11.999417449719,12.453585709304,11.8749736609215,11.3596847975807,12.4537869915794,11.6175952980267,11.8402485326488,11.2309425135348,12.4831726296537,11.2269452540437,11.7528133530369,12.2059776817757,11.6426673553945,11.7175007657219,12.0658601070576,11.6055507966842,11.7527867975348,11.0410236047291,12.1795526907164,11.6461103479155,10.8114605174785,10.6979296047519,11.648125007359,12.3154881126788,12.1427288089158,11.8605112631494,12.2174728993784,11.4004642715861,10.9421530511717,12.4314342068265,11.4280448351346
"AARS2",9.52912005296238,9.34376961921384,9.23812359658908,9.19695790333199,9.59927857141964,9.42588247672071,9.52287496706409,9.24602803274337,9.36626080832227,9.10338252859639,9.66286963707347,8.87981857661049,9.00408779008738,9.59774288559734,9.38950341650717,9.23546195415632,9.42928323138913,9.57860894753189,9.64513171219204,9.68579135088216,9.34405305317047,9.34234305183002,8.9855569634073,9.17379996149235,9.17481320473791,8.99735092840007,9.51939893972327,9.12969301241714,9.18201981953016,9.02045032553418,9.23273313969774,9.18726342173393,9.46144915837257,9.50772018175174,9.23040277220741,9.35073172744181,9.29660632410911,9.51788360073426,9.18894553609986,9.77292175451377
"AASDH",8.60813850266232,9.1532851546514,8.18485787910249,8.41408734072037,8.38162567603134,8.30922134949903,8.59872014558488,8.1850270369302,8.32364349674401,8.19062562734178,8.26516958106595,8.49213640826773,8.34159316503835,8.72413113372363,8.4883383649282,8.48807987542229,8.32494407103199,8.33291638078119,8.52751819306844,8.60964277058009,8.59069841769192,8.66780709370856,8.67036568632747,8.41681720004751,8.32502674117481,8.39035442046081,8.32519316890789,8.35773559596461,8.35548896134907,8.10029203264339,8.5065120242942,8.25773078456815,8.22559781824631,8.68421929268565,8.50785715236852,8.58830227659026,8.74528307796815,8.34261427354627,8.55134968347573,8.59812240780574
"AASDHPPT",9.82770328001067,9.93462813529411,9.80186674322304,10.4256909669157,9.65158264121111,9.84529539067874,10.2962808367101,9.6927577166979,10.1582062459208,10.0208398175763,10.2288406087981,9.54716764164303,9.86287163766407,10.1344767649985,9.44993629223079,10.3122873616942,10.0745676091609,10.2172737884738,10.1480990085361,10.2097349124881,10.3723762279596,9.81849397160866,9.84969101901214,10.3042694622878,9.99588800651518,10.0306482135802,9.75457547127884,10.2891898470145,10.3012587704157,9.69659221619466,10.0516317799769,10.2962892968198,10.2586935061261,10.3573183679289,10.0477631569505,10.2615518635145,9.99021697666068,9.99052224881666,10.0774164584191,10.0114866822576
"AASS",11.9051580303058,9.35035426614328,11.3534961095733,10.1243811040452,10.751312560064,10.648177930602,9.31793533303364,9.18775593243821,11.0217925883354,11.4374503065768,10.3183223479816,11.187243562446,10.3061878027072,9.70118925124759,10.3028286458099,10.9445273649506,10.5289595385199,9.12981108737782,10.1942038430606,11.3552131138439,10.746188984712,11.5649096380581,11.2316871150076,10.6581314256947,10.451312656895,11.3672688648455,11.5740186668514,10.2265882445108,10.1493184853693,10.6902927252198,11.5027848497177,10.5444945675404,9.52622839444167,10.282423859554,9.78949498988604,9.89102330370159,11.2431181191868,10.9154077426116,10.1849268672122,10.4651419853411
"AATBC",6.43581674822388,7.54508949264828,5.99556384112928,6.31958937763563,6.4478480416948,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,6.16100458416795,6.17015008410848,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,5.99556384112928,7.07014621250352,5.99556384112928,5.99556384112928,5.99556384112928,6.18477076998636,5.99556384112928,5.99556384112928,5.99556384112928
"AATF",11.4339802708663,11.3156016068323,11.3307348964748,11.495041574318,11.9906675509765,11.6387183473742,10.8247504399514,11.9049208977924,11.3370227600458,11.8096485704105,11.5693042501255,12.1394061688906,11.1223781056893,11.6732949417286,11.5486428993955,11.6289720918792,12.1402851965467,11.2795402833672,11.7572988029411,11.9682146177904,11.4433963352791,11.6112116264719,11.4810979524646,11.9301237406614,11.9623450129108,11.4687193933159,11.5686943174944,11.616407515206,11.2972365697641,11.6369236753984,11.7818387040447,11.923308547127,11.1362516822885,11.3152075334503,11.9081325883246,11.1021855182941,11.3839380843456,11.2681199702577,11.3985090955798,11.3861662508973
"AATK",9.01493579786359,7.45118452906869,7.80129696703997,7.77993322554077,8.39105476048803,7.97833876046026,8.24395389081724,7.8366911524188,8.09487306539035,8.62248274924613,7.80524718915927,7.87437270185708,8.07575706160211,8.53764073780818,8.29860076361658,8.21502318785516,8.1536871466005,7.86297243719439,7.73506928385439,7.97742672063943,7.60817901765956,7.39423496199211,7.96729466461826,8.29183220513479,8.54057578005094,7.83416612195802,7.63524727663288,7.26862814809596,8.4166629156559,7.41617494557413,6.65911511276303,8.00636588354619,8.20040551169774,8.1980113937343,7.83802798127702,8.07623388999239,7.88751932811113,8.18734759191708,8.33925996997371,7.17094896596006
"ABALON",6.64558880894561,6.90986188634074,6.48050419856115,6.79698708843943,6.40872050006245,6.52410423652657,6.42993669215208,5.99556384112928,6.63300579010859,6.33946369670044,6.48104850468773,6.68947857676059,6.75526032788104,6.44505663969231,6.26233789850717,6.41752620855684,6.42576454028861,6.70977517735837,6.51856871192592,6.88507911693431,6.82882533191636,6.74253930880723,6.68202984336586,6.55582935845337,6.85696414506856,6.56527256108438,6.80431429836803,6.8798178999955,6.65754580938923,6.35328530344693,6.6986090513795,6.66557225522538,5.99556384112928,6.59124214624487,6.73801024746094,6.54037972061795,6.59010158087139,6.57867462430224,6.60619037619538,6.7429370256452
"ABAT",11.5618415612872,10.4626912061541,11.5554515331163,11.7787517555933,11.2767106821979,11.8857653478503,11.6169671183718,11.7739689663106,11.2754032300185,12.2632473098028,10.9884431186579,11.7694501620779,11.7738866349013,10.8900132606828,11.2621076973888,12.3853351366419,11.3761455403163,11.3189638033652,12.3999319561363,12.0725392254783,11.8806595816993,11.6310102700053,11.7143430802829,11.6017440111519,11.5399106918989,11.432330155034,12.1002369385817,11.5524891003628,11.533472997977,11.0449902183985,12.1113321468634,11.0102194817514,10.417363088399,11.3869541469,11.9876927227708,11.3135154507497,11.3874953997525,11.7576312275623,11.4225578014542,11.2153793837177
