"","GSM2595136_NL_1.CEL","GSM2595137_NL_2.CEL","GSM2595138_NL_3.CEL","GSM2595139_NL_4.CEL","GSM2595140_PCOS_1.CEL","GSM2595141_PCOS_2.CEL","GSM2595142_PCOS_3.CEL","GSM2595143_PCOS_4.CEL"
"1552315_at",4.81516108887714,5.00395611985806,5.25280343236844,5.08939205190294,4.8840985659788,4.9219341551639,5.0202340972219,4.85986669739579
"1552316_a_at",3.77236251122724,3.56867797569959,3.47718446041238,3.5763594026847,3.64825536767499,3.50864853681616,3.98592636956552,3.51309961746537
"1552318_at",3.88953435959927,3.50676608338521,3.51236082870875,3.40896664784654,3.50767139161204,3.4777130417073,3.56214035188718,3.41794797083726
"1552319_a_at",5.37895138379959,5.30580854594711,5.60943897182968,5.63404880595772,5.47908347321459,5.11373981294063,5.62474402005406,5.24032063261293
"1552320_a_at",3.1998472807741,3.24907531098727,3.18552205143286,3.1743767228429,3.3625161102014,3.20940238360763,3.32157527040748,3.08545465509042
"1552321_a_at",3.22135647576382,3.4816041660609,3.30800467980966,3.44070024553781,3.47888324973861,3.48352334132388,3.44070024553781,3.86275237608248
"1552322_at",3.05058868000094,3.03517574003362,2.81914227235114,3.02372306147918,3.04860367632494,3.05375130981399,3.04540024279851,3.00517483609521
"1552323_s_at",4.81172569355568,4.70246335918282,4.58685609001949,4.70246335918282,4.69611842439235,4.9229447816973,4.44175628657622,4.80098301335765
"1552325_at",3.02266948347969,2.92137496291851,3.32933625541085,2.94416857528301,2.91003276451405,2.86916420679034,3.1782579594434,3.1931841067525
"1552326_a_at",4.86073561652397,5.16099535328148,4.83609533999628,4.77339771969126,4.937128497258,5.05996219601975,4.9996830810755,5.31342960521619
"1552327_at",3.56571415177515,2.84901455401548,3.34295275780075,3.47004497101538,3.51693366520797,3.61599182078935,3.104580313545,3.68940033199051
"1552329_at",5.61279903087932,5.79418988248429,5.69776266837906,6.52918523673828,5.93829042319447,6.94757686426622,5.7842941279544,7.16628099897393
"1552330_at",7.43507389025474,7.5493350482688,7.65687422554054,7.18300094563693,7.68283105988992,7.47703107707491,7.43924284899233,7.57588876146925
"1552332_at",8.59038900480801,8.64608316147828,8.43755901051825,8.28276366975133,8.35955393505384,8.1874015670425,8.73208483723971,8.45886453925173
