"","GSM2595136_NL_1.CEL","GSM2595137_NL_2.CEL","GSM2595138_NL_3.CEL","GSM2595139_NL_4.CEL","GSM2595140_PCOS_1.CEL","GSM2595141_PCOS_2.CEL","GSM2595142_PCOS_3.CEL","GSM2595143_PCOS_4.CEL"
"CLEC12A",3.88359372829362,3.88268780317741,3.90440601824064,3.71368487268436,3.89803237472076,3.79229157806614,3.90080841500704,3.7364063291667
"BRF1",6.33039204226979,6.20966538749754,6.30676081460352,6.27843711885303,6.29466281496624,6.23204966126206,6.40935437657319,6.13941355134285
"TMEM266",5.66465795299715,5.57502653989119,5.76922881109519,5.5270501261503,5.87283268562632,5.30977243379988,5.73957450436328,5.59385590301349
"BACH1",5.16475571786757,5.09916087761591,5.03779699670336,5.03697369280348,5.11843327712708,5.1938943845321,4.88133219878531,5.22151835644739
"CALML6",4.68198801758307,4.54566342323715,4.82800600127945,4.2949446335101,4.55528501650999,4.1834263026591,4.69468717234951,4.36519426115123
"NLRP5",4.97560029837298,5.09576195384162,5.29241321176642,5.28813023470274,5.27021789149464,5.13287674193519,5.50294400686321,4.92476127910377
"ODF4",5.36160177822043,5.21318050874284,5.37961073524125,4.89477750639854,5.35252108023709,5.09262058321504,5.22949954714744,5.08058100382621
"CLEC4F",5.75164365953085,6.07207011589862,6.04066792334164,6.13215930234075,6.02648663948847,6.18898657007088,6.02451533549801,5.55271728008375
"DEFB106A",5.79644792232643,6.04493999842073,6.08130096995909,6.08564516413771,5.94555448800012,5.94994492396455,5.9837679069584,5.84095840080388
"WFDC9",5.19988067485906,5.28629075739909,5.40775519000459,5.18899837128655,5.4753059667005,5.06921296633128,5.41470918289757,5.0960368369938
"NEDD1",7.91071807565263,7.97250758615548,7.25416233667593,8.06379998963058,7.27303019478903,7.98923249654707,7.19253243660216,8.01786626037632
"TTLL10",5.62147592567896,5.51948397135123,5.77694830906481,5.54865657088601,5.66113926391866,5.54157354349689,5.75445071737558,5.44501521069642
"CALR3",3.89560218061504,3.80523993451122,3.92876643267717,3.75242413550352,3.88800110416695,3.66211043850597,3.99747976588157,3.98141902659738
"ZNF22-AS1",5.70885333832855,5.8985312920922,5.86002259042163,5.87380408378217,6.4005119010328,5.65903380060309,5.62088913188384,5.23748758744972
"ETV3",6.18996496719435,6.24611719626612,6.18113177171915,6.47512868127938,6.16005686701465,6.50026948100313,6.23144005293203,6.44682032539543
"KLHL10",4.11915779749381,3.89465181014473,4.15609530429965,3.96333501568851,4.07935717349901,3.86798241657144,4.02063310064713,4.23642880959954
"TM2D3",8.32405518194508,8.64818461269743,8.17115391263101,8.9569554742781,8.28080814039934,8.9713570394285,8.37549389646433,9.10615179921781
"ZNF485",3.43184270335034,3.48331935987724,3.7774663600701,3.93441885115767,3.78588424043792,4.01575215207454,3.60607478826552,4.11427568032132
"WDR17",2.68222104144458,2.67044036048814,2.75943983253364,2.59784338754697,2.66627721580211,3.04295941428227,2.68598248122304,2.89820790382599
"MFSD6L",5.99325281981147,6.09005188146197,6.02429753803556,5.60328270864905,6.03322802166039,5.96931951627107,6.20052965442051,5.92548551068949
"CDH23",5.64395228176595,5.48605810228133,5.83450195890091,5.49776373976177,5.69721777805443,5.26526857279803,5.74908394182921,5.5032605312123
"ANKAR",3.71314300437736,3.6784153628491,3.86767103493724,3.66861428321051,3.78587559612632,3.70391398991723,3.75171978842642,3.74283264274413
"MEGF11",4.53140906599219,4.55977379661261,4.70552514530427,4.51489339680432,4.75436261653477,4.5715509535469,4.63232601151229,4.41551329965709
