"","GSM2595136","GSM2595137","GSM2595138","GSM2595139","GSM2595140","GSM2595141","GSM2595142","GSM2595143"
"SRCAP",6.79097592051264,6.79097592051264,6.69524788762217,6.69524788762217,6.88428213190512,6.88428213190512,6.67708850235243,6.67708850235243
"MAP3K6",7.69551869431115,7.69551869431115,7.67738446340195,7.67738446340195,7.4186445050659,7.4186445050659,7.50920735382228,7.50920735382228
"KLHDC7B",6.58719842455926,6.58719842455926,6.57505311630872,6.57505311630872,6.64325042194332,6.64325042194332,6.14289779377588,6.14289779377588
"ATAD3B",9.01328401735176,9.01328401735176,8.84641799876429,8.84641799876429,8.94240929818868,8.94240929818868,8.71281115469483,8.71281115469483
"ZNF626",7.44504646295622,7.44504646295622,7.47695269198949,7.47695269198949,7.49503126060428,7.49503126060428,7.42499418598629,7.42499418598629
"PHC3",6.81466845752553,6.81466845752553,7.08174381817067,7.08174381817067,6.83097168057774,6.83097168057774,7.29496904800844,7.29496904800844
"IL11RA",7.47917453273727,7.47917453273727,7.50737283976821,7.50737283976821,7.27839462190783,7.27839462190783,7.3217423842406,7.3217423842406
"TNFRSF10A",6.14044781212751,6.14044781212751,7.17474595492279,7.17474595492279,7.7388729225225,7.7388729225225,7.13719398354419,7.13719398354419
"HPS4",7.1830394993258,7.1830394993258,7.26537260555817,7.26537260555817,7.37941453374551,7.37941453374551,7.46306329663676,7.46306329663676
"TXNDC2",6.16443637618674,6.16443637618674,6.33869445887813,6.33869445887813,6.65945424690089,6.65945424690089,6.13757187555986,6.13757187555986
"NAV3",9.62625640186627,9.62625640186627,9.68555954590017,9.68555954590017,9.19518774391836,9.19518774391836,9.5158035730289,9.5158035730289
"PCDHGB7",6.09862874391506,6.09862874391506,6.13654385752083,6.13654385752083,5.83962532961124,5.83962532961124,5.81946190904878,5.81946190904878
"ERC1",7.1529550019433,7.1529550019433,8.0151027214489,8.0151027214489,7.72238738327393,7.72238738327393,7.37370856620408,7.37370856620408
"FLCN",7.04990081587025,7.04990081587025,6.96635815659375,6.96635815659375,7.05473020590019,7.05473020590019,7.20015196892387,7.20015196892387
"JMJD1C-AS1",7.02107752904632,7.02107752904632,7.08373671077146,7.08373671077146,7.23705585453639,7.23705585453639,7.13127218017855,7.13127218017855
"SH2D3C",6.63958445511249,6.63958445511249,6.46435395873344,6.46435395873344,6.65697622698217,6.65697622698217,5.98561667879052,5.98561667879052
"PPP1R3B",7.24427930042277,7.24427930042277,7.31392843223391,7.31392843223391,6.89614090635918,6.89614090635918,7.84777649131205,7.84777649131205
"SLC9A7",7.68850147430794,7.68850147430794,7.72668600562579,7.72668600562579,7.87652388154202,7.87652388154202,6.60980277399605,6.60980277399605
"UCN3",6.33755369126687,6.33755369126687,6.27896166287353,6.27896166287353,6.4081010253172,6.4081010253172,6.31649650942464,6.31649650942464
"DIP2A",6.94783822627516,6.94783822627516,7.03287828817966,7.03287828817966,6.94493037473589,6.94493037473589,6.86434670495275,6.86434670495275
"SENP8",6.58957269220069,6.58957269220069,6.63425107835553,6.63425107835553,6.19803530724617,6.19803530724617,6.93072533601493,6.93072533601493
"GRHL1",5.81450920297617,5.81450920297617,5.88332975459703,5.88332975459703,5.87118331765793,5.87118331765793,5.82565943841204,5.82565943841204
"CASKIN1",6.66956893694959,6.66956893694959,6.5883695453187,6.5883695453187,6.63227033117995,6.63227033117995,6.5081005423627,6.5081005423627
"CACNA2D4",6.1330375014864,6.1330375014864,6.00626071416325,6.00626071416325,6.04146391615462,6.04146391615462,5.62461614409048,5.62461614409048
"NIPA1",6.64552665015554,6.64552665015554,6.37399069109816,6.37399069109816,6.34634981095578,6.34634981095578,6.49205160153535,6.49205160153535
"TUBA3FP",6.95565698356418,6.95565698356418,6.64214072363586,6.64214072363586,6.71943420399454,6.71943420399454,6.35913141381396,6.35913141381396
"CARD16",5.93688826880668,5.93688826880668,5.74791186732003,5.74791186732003,4.84971170187413,4.84971170187413,8.32279025930867,8.32279025930867
"CYB5D1",8.34651264265698,8.34651264265698,8.32846339671332,8.32846339671332,8.4788359719192,8.4788359719192,8.15068916493272,8.15068916493272
"NMNAT2",6.82695986995066,6.82695986995066,7.27491787032569,7.27491787032569,6.97418969552833,6.97418969552833,7.19598248631326,7.19598248631326
"DTD1",9.28557730731545,9.28557730731545,9.12689474476056,9.12689474476056,9.06495257266786,9.06495257266786,9.39781973152637,9.39781973152637
"FGF1",7.82648015800532,7.82648015800532,7.88576602708716,7.88576602708716,6.81757185840966,6.81757185840966,6.79284134276755,6.79284134276755
"RHOXF1",6.39419943393662,6.39419943393662,6.12212053676273,6.12212053676273,6.29972702627216,6.29972702627216,6.07388059343649,6.07388059343649
"ADAMTS17",6.02573675818218,6.02573675818218,5.73805943329072,5.73805943329072,6.22849968048909,6.22849968048909,5.81771001910493,5.81771001910493
"SNHG7",7.95925663244228,7.95925663244228,7.66489031561993,7.66489031561993,8.1146782530236,8.1146782530236,8.32858690551671,8.32858690551671
"KLHDC1",5.85310345927891,5.85310345927891,6.20196207661562,6.20196207661562,5.30581311341752,5.30581311341752,5.98150167392632,5.98150167392632
"PCDHGA4",5.97310230980872,5.97310230980872,5.92987411298178,5.92987411298178,6.28412775728212,6.28412775728212,5.7398954182252,5.7398954182252
"ST7L",6.26320098587895,6.26320098587895,6.80391837053258,6.80391837053258,6.38960871363832,6.38960871363832,6.93098342378636,6.93098342378636
"KLC3",7.11364789435938,7.11364789435938,7.05898464809962,7.05898464809962,7.17654604790218,7.17654604790218,7.11974232159973,7.11974232159973
"CIB3",6.51405077717194,6.51405077717194,6.61749437385879,6.61749437385879,6.53623838419897,6.53623838419897,6.59593515709733,6.59593515709733
"SLC16A11",6.45362142542333,6.45362142542333,6.30928231606824,6.30928231606824,6.4296255631175,6.4296255631175,6.52676747860735,6.52676747860735
"CAMKK1",7.19582759527233,7.19582759527233,7.05129928349283,7.05129928349283,7.14960597063038,7.14960597063038,7.04221823387975,7.04221823387975
"GPRC6A",6.06879600219013,6.06879600219013,6.01268033273394,6.01268033273394,5.81014965167873,5.81014965167873,5.64635613626079,5.64635613626079
"SEC62",9.55339308330823,9.55339308330823,9.99502216120273,9.99502216120273,9.45988311679628,9.45988311679628,10.0132873033387,10.0132873033387
"LY6S-AS1",7.07800755974988,7.07800755974988,7.04150012547069,7.04150012547069,6.51992159526174,6.51992159526174,6.93365726243526,6.93365726243526
"TLR4",6.15309735740561,6.15309735740561,6.54362238022405,6.54362238022405,6.64560326771039,6.64560326771039,7.11694176419147,7.11694176419147
"ABHD11",7.81627945220503,7.81627945220503,7.73622971820987,7.73622971820987,7.75128759929649,7.75128759929649,7.61469864805479,7.61469864805479
"SIGLEC10",6.70800377874166,6.70800377874166,6.7077559931402,6.7077559931402,6.85331889593104,6.85331889593104,6.3769731484093,6.3769731484093
"WFIKKN1",7.52808893029762,7.52808893029762,7.46191800077002,7.46191800077002,7.72912085064496,7.72912085064496,7.46004108758434,7.46004108758434
"SNX18",8.09246673970912,8.09246673970912,8.49734085365226,8.49734085365226,8.42754286347409,8.42754286347409,8.53510006924518,8.53510006924518
"B3GNT6",6.01318043616454,6.01318043616454,6.08164332544228,6.08164332544228,6.30112500146646,6.30112500146646,6.23307642815589,6.23307642815589
"ZNF619",6.71177081520633,6.71177081520633,6.53748986754533,6.53748986754533,6.41304964048099,6.41304964048099,6.34284098127896,6.34284098127896
"CLDN15",6.77853933573923,6.77853933573923,6.69620354891805,6.69620354891805,6.79971484355203,6.79971484355203,6.60269916569986,6.60269916569986
"RAB42",6.47330579957002,6.47330579957002,6.36085742806629,6.36085742806629,6.16959043526975,6.16959043526975,6.22696292600057,6.22696292600057
"CACNG6",7.33752677664499,7.33752677664499,7.34433545031889,7.34433545031889,7.51319936124019,7.51319936124019,7.24355767493592,7.24355767493592
"LMNTD1",5.68494288678484,5.68494288678484,5.64785552391632,5.64785552391632,5.96884767694753,5.96884767694753,5.72174681357321,5.72174681357321
"CIRBP-AS1",7.22788867306903,7.22788867306903,7.13083797173184,7.13083797173184,7.28335079605927,7.28335079605927,6.97283264452397,6.97283264452397
"ASMTL-AS1",6.37365404996576,6.37365404996576,6.372526987289,6.372526987289,6.43222755947921,6.43222755947921,6.36717209150532,6.36717209150532
"NKX6-3",6.95912386667902,6.95912386667902,6.86418636509686,6.86418636509686,7.04999366915844,7.04999366915844,6.96034693251471,6.96034693251471
"EXOC3L2",7.48305061196002,7.48305061196002,7.39791703939214,7.39791703939214,7.63004368055506,7.63004368055506,7.26276540531256,7.26276540531256
"CABP4",6.34245934867162,6.34245934867162,6.27157863980869,6.27157863980869,6.37828359188622,6.37828359188622,6.39730906251331,6.39730906251331
"TNFRSF13C",7.00536770201326,7.00536770201326,6.91020736803916,6.91020736803916,7.18758251243279,7.18758251243279,6.75229412610083,6.75229412610083
"CAMK2N2",6.87486530292474,6.87486530292474,6.65708408435955,6.65708408435955,6.80158239487969,6.80158239487969,6.35077606172819,6.35077606172819
"SIGLEC11",5.71574129239383,5.71574129239383,5.68138803252113,5.68138803252113,6.14283371872285,6.14283371872285,6.19928252939416,6.19928252939416
"CD276",8.62320083798072,8.62320083798072,8.26857953386927,8.26857953386927,8.27409280959528,8.27409280959528,8.40103986846032,8.40103986846032
"IFNL1",6.44410106669851,6.44410106669851,6.18196925213597,6.18196925213597,6.56614811535582,6.56614811535582,6.29114275162183,6.29114275162183
"FIGNL1",7.28767686039041,7.28767686039041,7.10162150763003,7.10162150763003,6.67403853636353,6.67403853636353,6.70061446314267,6.70061446314267
"MMEL1",6.66342533254255,6.66342533254255,6.4693777369611,6.4693777369611,6.90282889697688,6.90282889697688,6.45729855657393,6.45729855657393
"RTL3",5.91395592438054,5.91395592438054,5.95281467911516,5.95281467911516,5.86386355757165,5.86386355757165,5.86386355757165,5.86386355757165
