"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"PSMD6-AS2",0.537539514958215,6.74698361456333,9.67372714592684,1.43122575866702e-05,0.00214305774603573,3.77724399182094,"Not Significant"
"PHACTR4",-0.39387148983469,8.15833411787227,-9.67247798942945,1.43254990706785e-05,0.00214305774603573,3.77630232102227,"Not Significant"
"CHEK1",-0.554655069929408,6.54581603399656,-9.66640698364222,1.4390049626917e-05,0.00214305774603573,3.77172395965582,"Not Significant"
"MCM3",-0.901241084545564,8.62722396953683,-9.65742564147721,1.44861433140338e-05,0.00214305774603573,3.76494544581409,"Downregulated"
"MKI67",-0.489782128765391,6.65693494152896,-9.64898482855829,1.45771096918915e-05,0.00214305774603573,3.75856904515967,"Not Significant"
"ARHGEF37",0.39331096267381,6.82114449369664,9.64416659220946,1.4629322583706e-05,0.00214305774603573,3.75492668852001,"Not Significant"
"HS3ST3B1",0.755964716131429,7.76314498445582,9.61889352563851,1.4906650603286e-05,0.00216327542586752,3.73579115409027,"Upregulated"
"LOC284600",0.384541412193304,6.37073988060085,9.59667327460063,1.51553528328983e-05,0.00217900295175227,3.71892490367839,"Not Significant"
"LIG1",-0.773889619724621,8.01521961866285,-9.56219058613061,1.55505639343169e-05,0.00220086049316216,3.69267243681281,"Downregulated"
"CARD8-AS1",-0.427794496713336,7.49840335929083,-9.55873118966133,1.5590845842854e-05,0.00220086049316216,3.69003343763076,"Not Significant"
"FOXC1",-0.430364272103617,7.52558644553847,-9.49211399914848,1.63898140219568e-05,0.00228161036125338,3.63902574362172,"Not Significant"
"BUB1B",-1.74322976656082,7.78261606377429,-9.48375524622128,1.64932640685714e-05,0.00228161036125338,3.63260013842588,"Downregulated"
"HSDL1",0.385263239504193,7.67406402845154,9.47489806684879,1.66036817891314e-05,0.00228161036125338,3.62578516210429,"Not Significant"
"RDH8",0.374710469146917,6.43366489469777,9.42866988740044,1.71935943518092e-05,0.00234194853592012,3.59011167901535,"Not Significant"
"BPGM",-0.826645072397479,9.31854470701538,-9.37418289938259,1.79192510361046e-05,0.00240179401019063,3.54783933835741,"Downregulated"
"ZWILCH",-0.946808001136412,8.01730153555399,-9.37249260947328,1.79423045583535e-05,0.00240179401019063,3.54652404494986,"Downregulated"
"MCM2",-1.27367649552365,8.31264739011727,-9.33286559548425,1.84924045403569e-05,0.00245427399745864,3.51562041365496,"Downregulated"
"LDLRAP1",-0.352833536706463,7.79924727476283,-9.291726661359,1.90835616842643e-05,0.00249189143396944,3.48339911664126,"Not Significant"
"CDCA8",-1.29985817619523,8.11933399669223,-9.28764573434206,1.91433484351351e-05,0.00249189143396944,3.48019507792598,"Downregulated"
