"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"STC1",-0.778048084969161,7.43859767838138,-7.26968514809499,0.000105681728035367,0.00596736681066611,1.70551798382588,"Downregulated"
"MCM5",-1.29995945674383,8.27829621547489,-7.20204358229935,0.000112618394692283,0.00614398970178395,1.63870815772494,"Downregulated"
"ORC6",-0.975781195052699,8.72293756877046,-7.19746685165185,0.000113105740370005,0.00614398970178395,1.63416866823184,"Downregulated"
"PER2",-0.789291197933435,6.88724684090385,-7.18288313287458,0.000114674394758817,0.00617451639531241,1.61968745490521,"Downregulated"
"NCAPG",-1.80179264534196,7.15795171723479,-7.14549883391608,0.000118807313908232,0.00631794510399667,1.58245322509619,"Downregulated"
"FBXO5",-1.29758739260142,7.11115188194881,-7.06546764944411,0.000128224127183153,0.00664917661399286,1.50219460689867,"Downregulated"
"CCDC15",-0.983978850426294,6.33798797366733,-7.06418945011708,0.000128381116230453,0.00664917661399286,1.50090667061683,"Downregulated"
"IRX2",1.00487086881992,7.95790745199792,7.06353416891292,0.000128461681104963,0.00664917661399286,1.50024632294686,"Upregulated"
"PRC1",-1.44689072147182,9.14339765562273,-6.97913245563385,0.000139324746727429,0.00709322841699516,1.41476682940394,"Downregulated"
"UBE2S",-0.756063539359745,11.2306020958894,-6.96301787815306,0.000141512923259709,0.00713445672849597,1.39835005453604,"Downregulated"
"NCAPG2",-1.30755165368723,6.6583306592265,-6.93260258622898,0.000145747918656317,0.00723225665999232,1.36727959536289,"Downregulated"
"SPC24",-1.31121120916126,7.17471506789012,-6.91583149406486,0.000148143275244238,0.0072338640817375,1.35009968228955,"Downregulated"
"BMP6",-1.35213598634906,8.05031308716138,-6.88419580760945,0.000152781802325982,0.00732265708612962,1.31760043906129,"Downregulated"
"AURKB",-1.90925964111142,7.40248574178072,-6.87448663015035,0.00015423761137626,0.00733239995862027,1.30760194405155,"Downregulated"
"KIF23",-1.26637736160711,7.23769629235205,-6.86910562620875,0.000155051086068056,0.00733239995862027,1.30205567105471,"Downregulated"
"MCM10",-1.15727291991523,6.46226346309176,-6.86861559171653,0.000155125403834919,0.00733239995862027,1.30155041133161,"Downregulated"
"PLAU",-1.05311993303855,7.85457716932292,-6.85618837690188,0.000157023395156611,0.0073441544578068,1.28872733622733,"Downregulated"
"PTTG1",-0.873948103707157,10.9627738560966,-6.73097659931824,0.000177656835858624,0.00793315714154004,1.15847319090323,"Downregulated"
"H4C3",-0.808284531152896,12.5635539124717,-6.68835655019596,0.000185353942960395,0.00815276232812733,1.11369558970468,"Downregulated"
"CENPM",-1.19093767157652,8.28690391671697,-6.68652840949446,0.000185692290662139,0.00815276232812733,1.11176985017176,"Downregulated"
"CDT1",-1.47395948537804,6.58633061890812,-6.68560841892307,0.000185862819690693,0.00815276232812733,1.11080058656344,"Downregulated"
"HAUS8",-1.09297680785078,6.73721259671992,-6.6402589842665,0.000194488376901965,0.00843579753221709,1.06289125502467,"Downregulated"
"CCNB1",-1.42802366737456,8.67454085683443,-6.6350918372308,0.000195499074351965,0.00845601567280587,1.05741608756264,"Downregulated"
"PRICKLE1",-1.18457357702375,7.60452236331893,-6.61978010600701,0.000198528475184412,0.00853947413480209,1.04117190905191,"Downregulated"
"KAZALD1",-0.702569806042848,8.26218734729188,-6.59850869724749,0.000202823864805229,0.00865233234257033,1.01855615043174,"Downregulated"
